State,Year,ConsumptionType,ConsumptionValue
Alabama,2006,Consumption.Commercial.Geothermal,0
Alabama,2007,Consumption.Commercial.Geothermal,0
Alabama,2008,Consumption.Commercial.Geothermal,0
Alabama,2009,Consumption.Commercial.Geothermal,0
Alabama,2010,Consumption.Commercial.Geothermal,0
Alabama,2011,Consumption.Commercial.Geothermal,0
Alabama,2012,Consumption.Commercial.Geothermal,0
Alabama,2013,Consumption.Commercial.Geothermal,0
Alabama,2014,Consumption.Commercial.Geothermal,0
Alabama,2015,Consumption.Commercial.Geothermal,0
Alabama,2016,Consumption.Commercial.Geothermal,0
Alabama,2017,Consumption.Commercial.Geothermal,0
Alabama,2018,Consumption.Commercial.Geothermal,0
Alabama,2019,Consumption.Commercial.Geothermal,0
Arkansas,1960,Consumption.Commercial.Geothermal,0
Arkansas,1961,Consumption.Commercial.Geothermal,0
Arkansas,1962,Consumption.Commercial.Geothermal,0
Arkansas,1963,Consumption.Commercial.Geothermal,0
Arkansas,1964,Consumption.Commercial.Geothermal,0
Arkansas,1965,Consumption.Commercial.Geothermal,0
Arkansas,1966,Consumption.Commercial.Geothermal,0
Arkansas,1967,Consumption.Commercial.Geothermal,0
Arkansas,1968,Consumption.Commercial.Geothermal,0
Arkansas,1969,Consumption.Commercial.Geothermal,0
Arkansas,1970,Consumption.Commercial.Geothermal,0
Arkansas,1971,Consumption.Commercial.Geothermal,0
Arkansas,1972,Consumption.Commercial.Geothermal,0
Arkansas,1973,Consumption.Commercial.Geothermal,0
Arkansas,1974,Consumption.Commercial.Geothermal,0
Arkansas,1975,Consumption.Commercial.Geothermal,0
Arkansas,1976,Consumption.Commercial.Geothermal,0
Arkansas,1977,Consumption.Commercial.Geothermal,0
Arkansas,1978,Consumption.Commercial.Geothermal,0
Arkansas,1979,Consumption.Commercial.Geothermal,0
Arkansas,1980,Consumption.Commercial.Geothermal,0
Arkansas,1981,Consumption.Commercial.Geothermal,0
Arkansas,1982,Consumption.Commercial.Geothermal,0
Arkansas,1983,Consumption.Commercial.Geothermal,0
Arkansas,1984,Consumption.Commercial.Geothermal,0
Arkansas,1985,Consumption.Commercial.Geothermal,0
Arkansas,1986,Consumption.Commercial.Geothermal,0
